,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,58.0,León,5.0,Familia
1,Hombre,60.0,Valladolid,4.0,Familia
2,Hombre,31.0,Valladolid,4.0,Familia
3,Mujer,84.0,León,5.0,Familia
4,Hombre,86.0,León,5.0,Familia
5,Hombre,34.0,Madrid,5.0,Otro
6,Mujer,39.0,Madrid,4.0,Trabajo
7,Mujer,44.0,Madrid,3.0,Trabajo
8,Hombre,50.0,Madrid,1.0,Trabajo
9,Hombre,55.0,Madrid,1.0,Trabajo
10,Hombre,53.0,Madrid,1.0,Trabajo
11,Mujer,31.0,Madrid,2.0,Estudios de Primaria/Secundaria
12,Mujer,32.0,Logroño,2.0,Estudios de Primaria/Secundaria
13,Mujer,31.0,Valladolid,1.0,Familia
14,Hombre,58.0,León,1.0,Familia
15,Mujer,56.0,León,1.0,Familia
16,Mujer,24.0,Madrid,1.0,Familia
17,Mujer,59.0,León,5.0,Familia
18,Hombre,62.0,León,3.0,Familia
19,Hombre,23.0,León,3.0,Familia
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
