,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,24.0,Madrid,5.0,Aficiones comunes
1,Mujer,26.0,Madrid,5.0,Aficiones comunes
2,Mujer,45.0,Madrid,2.0,Trabajo
3,Hombre,26.0,Pozuelo,4.0,Estudios Superiores
4,Mujer,25.0,Madrid,4.0,Estudios de Primaria/Secundaria
5,Hombre,27.0,Pozuelo,5.0,Aficiones comunes
6,Mujer,37.0,Tres Cantos,2.0,Trabajo
7,Mujer,64.0,Madrid,5.0,Familia
8,Mujer,70.0,Madrid,4.0,Familia
9,Hombre,72.0,Madrid,2.0,Familia
10,Mujer,34.0,Madrid,3.0,Familia
11,Mujer,25.0,Toulouse,1.0,Estudios de Primaria/Secundaria
12,Hombre,29.0,Fuenlabrada,1.0,Trabajo
13,Hombre,24.0,Madrid,2.0,Estudios de Primaria/Secundaria
14,Hombre,25.0,Majadahonda,4.0,Aficiones comunes
15,Hombre,28.0,Pozuelo,1.0,Aficiones comunes
16,Mujer,25.0,Madrid,2.0,A través de otra persona
17,Mujer,23.0,Madrid,4.0,Estudios de Primaria/Secundaria
18,Mujer,23.0,Pozuelo,3.0,Otro
19,Mujer,24.0,Madrid,3.0,Estudios de Primaria/Secundaria
20,Hombre,25.0,Madrid,1.0,Estudios de Primaria/Secundaria
21,Mujer,22.0,Pozuelo,2.0,Aficiones comunes
22,Hombre,31.0,Madrid,2.0,Otro
23,Hombre,29.0,Madrid,1.0,Otro
24,Mujer,27.0,Pamplona,1.0,A través de otra persona
25,Mujer,33.0,Madrid,1.0,Vecino/a
26,Hombre,26.0,Madrid,2.0,Vecino/a
27,Hombre,63.0,Madrid,3.0,Familia
28,Mujer,45.0,Fuenlabrada,1.0,Trabajo
29,Mujer,20.0,Brunete,1.0,Otro
30,Mujer,22.0,brunete,1.0,Trabajo
31,Mujer,24.0,Madrid,2.0,Estudios Superiores
32,Hombre,22.0,Pozuelo,1.0,A través de otra persona
33,Mujer,28.0,Pozuelo,2.0,Estudios Superiores
34,Mujer,30.0,Vallecas,2.0,Trabajo
35,Mujer,26.0,Majadahonda,4.0,Estudios de Primaria/Secundaria
36,Mujer,55.0,Fuenlabrada,1.0,Trabajo
37,Mujer,56.0,Fuenlabrada,1.0,Trabajo
38,Mujer,43.0,Fuenlabrada,1.0,Trabajo
39,Mujer,30.0,Madrid,1.0,Vecino/a
40,Mujer,65.0,Madrid,1.0,Vecino/a
41,Hombre,63.0,Madrid,1.0,Vecino/a
42,Hombre,28.0,Tenerife,3.0,Estudios de Primaria/Secundaria
43,Mujer,23.0,Madrid,1.0,Estudios de Primaria/Secundaria
44,Mujer,25.0,Madrid,4.0,Estudios de Primaria/Secundaria
