,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,34.0,MELILLA,5.0,A través de otra persona
1,Mujer,35.0,MONTILLA,5.0,Estudios de Primaria/Secundaria
2,Mujer,35.0,MONTILLA,5.0,Estudios de Primaria/Secundaria
3,Mujer,34.0,MONTILLA,5.0,A través de otra persona
4,Mujer,36.0,BARCELONA,5.0,Estudios Superiores
5,Mujer,35.0,BARCELONA,5.0,Estudios Superiores
6,Mujer,35.0,GRANADA,5.0,Estudios Superiores
7,Hombre,35.0,MADRID,4.0,Estudios Superiores
8,Mujer,45.0,MONTILLA,4.0,Familia
9,Mujer,46.0,MONTILLA,4.0,Familia
10,Mujer,70.0,MONTILLA,4.0,Familia
11,Hombre,75.0,MONTILLA,3.0,Familia
12,Hombre,53.0,MONTILLA,4.0,Familia
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
