,alter_j,alter_k,relationship
0.0,0,1,Sí
1.0,0,2,No
2.0,0,3,Quizás
3.0,0,4,No
4.0,0,5,Quizás
5.0,0,6,Quizás
6.0,0,7,No
7.0,0,8,Quizás
8.0,0,9,No
9.0,0,10,Quizás
10.0,0,11,Sí
11.0,0,12,No
12.0,0,13,Quizás
13.0,0,14,Quizás
14.0,0,15,Quizás
15.0,0,16,No
16.0,0,17,Quizás
17.0,0,18,Quizás
18.0,0,19,No
19.0,0,20,Sí
20.0,0,21,Quizás
21.0,0,22,Quizás
22.0,0,23,Sí
23.0,0,24,Sí
24.0,0,25,Sí
25.0,0,26,No
26.0,0,27,No
27.0,0,28,Sí
28.0,0,29,Quizás
29.0,1,2,Quizás
30.0,1,3,Quizás
31.0,1,4,No
32.0,1,5,Quizás
33.0,1,6,No
34.0,1,7,Quizás
35.0,1,8,Quizás
36.0,1,9,Quizás
37.0,1,10,Quizás
38.0,1,11,No
39.0,1,12,No
40.0,1,13,No
41.0,1,14,No
42.0,1,15,Sí
43.0,1,16,Quizás
44.0,1,17,Quizás
45.0,1,18,Sí
46.0,1,19,Quizás
47.0,1,20,Sí
48.0,1,21,Quizás
49.0,1,22,Sí
50.0,1,23,Quizás
51.0,1,24,No
52.0,1,25,No
53.0,1,26,No
54.0,1,27,No
55.0,1,28,No
56.0,1,29,No
57.0,2,3,Quizás
58.0,2,4,Quizás
59.0,2,5,Quizás
60.0,2,6,Quizás
61.0,2,7,Quizás
62.0,2,8,Sí
63.0,2,9,Sí
64.0,2,10,Sí
65.0,2,11,Quizás
66.0,2,12,No
67.0,2,13,No
68.0,2,14,Quizás
69.0,2,15,No
70.0,2,16,Sí
71.0,2,17,Sí
72.0,2,18,Quizás
73.0,2,19,Sí
74.0,2,20,Quizás
75.0,2,21,No
76.0,2,22,No
77.0,2,23,Quizás
78.0,2,24,No
79.0,2,25,Sí
80.0,2,26,Quizás
81.0,2,27,Sí
82.0,2,28,Quizás
83.0,2,29,No
84.0,3,4,Quizás
85.0,3,5,Quizás
86.0,3,6,Sí
87.0,3,7,Sí
88.0,3,8,Quizás
89.0,3,9,No
90.0,3,10,Quizás
91.0,3,11,No
92.0,3,12,Quizás
93.0,3,13,Quizás
94.0,3,14,Sí
95.0,3,15,Quizás
96.0,3,16,No
97.0,3,17,Quizás
98.0,3,18,Sí
99.0,3,19,Quizás
100.0,3,20,Sí
101.0,3,21,Quizás
102.0,3,22,No
103.0,3,23,Quizás
104.0,3,24,Sí
105.0,3,25,Sí
106.0,3,26,Sí
107.0,3,27,Quizás
108.0,3,28,No
109.0,3,29,Quizás
110.0,4,5,No
111.0,4,6,Quizás
112.0,4,7,Sí
113.0,4,8,Quizás
114.0,4,9,No
115.0,4,10,Quizás
116.0,4,11,Quizás
117.0,4,12,Quizás
118.0,4,13,Sí
119.0,4,14,Sí
120.0,4,15,Quizás
121.0,4,16,Sí
122.0,4,17,Sí
123.0,4,18,Sí
124.0,4,19,Sí
125.0,4,20,Quizás
126.0,4,21,No
127.0,4,22,Sí
128.0,4,23,No
129.0,4,24,No
130.0,4,25,Quizás
131.0,4,26,Sí
132.0,4,27,Sí
133.0,4,28,Sí
134.0,4,29,Sí
135.0,5,6,No
136.0,5,7,Quizás
137.0,5,8,No
138.0,5,9,Quizás
139.0,5,10,No
140.0,5,11,Quizás
141.0,5,12,Sí
142.0,5,13,Quizás
143.0,5,14,No
144.0,5,15,Quizás
145.0,5,16,No
146.0,5,17,Sí
147.0,5,18,Quizás
148.0,5,19,No
149.0,5,20,Sí
150.0,5,21,Quizás
151.0,5,22,No
152.0,5,23,Quizás
153.0,5,24,No
154.0,5,25,No
155.0,5,26,Sí
156.0,5,27,Quizás
157.0,5,28,Sí
158.0,5,29,No
159.0,6,7,Quizás
160.0,6,8,No
161.0,6,9,Sí
162.0,6,10,Sí
163.0,6,11,Quizás
164.0,6,12,No
165.0,6,13,Quizás
166.0,6,14,No
167.0,6,15,Quizás
168.0,6,16,Sí
169.0,6,17,Quizás
170.0,6,18,Sí
171.0,6,19,Quizás
172.0,6,20,Quizás
173.0,6,21,Quizás
174.0,6,22,Sí
175.0,6,23,Quizás
176.0,6,24,No
177.0,6,25,Quizás
178.0,6,26,Quizás
179.0,6,27,Sí
180.0,6,28,Quizás
181.0,6,29,Sí
182.0,7,8,Quizás
183.0,7,9,Sí
184.0,7,10,No
185.0,7,11,No
186.0,7,12,Quizás
187.0,7,13,Sí
188.0,7,14,Quizás
189.0,7,15,Quizás
190.0,7,16,Quizás
191.0,7,17,No
192.0,7,18,Quizás
193.0,7,19,Quizás
194.0,7,20,Quizás
195.0,7,21,Quizás
196.0,7,22,Quizás
197.0,7,23,No
198.0,7,24,Sí
199.0,7,25,Quizás
200.0,7,26,No
201.0,7,27,Sí
202.0,7,28,Sí
203.0,7,29,Quizás
204.0,8,9,No
205.0,8,10,Sí
206.0,8,11,No
207.0,8,12,No
208.0,8,13,Quizás
209.0,8,14,No
210.0,8,15,No
211.0,8,16,Quizás
212.0,8,17,Quizás
213.0,8,18,Sí
214.0,8,19,Quizás
215.0,8,20,Quizás
216.0,8,21,Quizás
217.0,8,22,Sí
218.0,8,23,Quizás
219.0,8,24,Sí
220.0,8,25,Quizás
221.0,8,26,No
222.0,8,27,Quizás
223.0,8,28,No
224.0,8,29,Sí
225.0,9,10,Quizás
226.0,9,11,Sí
227.0,9,12,Quizás
228.0,9,13,Quizás
229.0,9,14,Quizás
230.0,9,15,Sí
231.0,9,16,No
232.0,9,17,Quizás
233.0,9,18,No
234.0,9,19,Quizás
235.0,9,20,Sí
236.0,9,21,Quizás
237.0,9,22,Sí
238.0,9,23,Quizás
239.0,9,24,No
240.0,9,25,No
241.0,9,26,Sí
242.0,9,27,Sí
243.0,9,28,Sí
244.0,9,29,Sí
245.0,10,11,Quizás
246.0,10,12,Sí
247.0,10,13,Sí
248.0,10,14,Quizás
249.0,10,15,No
250.0,10,16,Quizás
251.0,10,17,No
252.0,10,18,Quizás
253.0,10,19,Sí
254.0,10,20,Quizás
255.0,10,21,Sí
256.0,10,22,Quizás
257.0,10,23,No
258.0,10,24,Quizás
259.0,10,25,No
260.0,10,26,Quizás
261.0,10,27,Sí
262.0,10,28,Quizás
