,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,22,valencia,5,Estudios Superiores
1,Mujer,21,Madrid,5,Estudios Superiores
2,Mujer,21,Granada,5,Estudios Superiores
3,Mujer,24,Cádiz,5,Familia
4,Mujer,22,Cádiz,5,Estudios de Primaria/Secundaria
5,Mujer,22,Valencia,5,Estudios Superiores
6,Mujer,59,Cádiz,5,Familia
7,Hombre,64,Cádiz,5,Familia
8,Mujer,22,Palma,3,Estudios Superiores
9,Mujer,22,Madrid,4,Estudios Superiores
10,Hombre,22,Granada,3,Estudios Superiores
11,Mujer,21,Alicante,5,Estudios Superiores
12,Mujer,21,Granada,4,Estudios Superiores
13,Mujer,22,Tenerife,4,Estudios Superiores
14,Hombre,23,Cádiz,5,Aficiones comunes
15,Hombre,31,Cádiz,5,Aficiones comunes
16,Hombre,23,Cádiz,4,Aficiones comunes
17,Mujer,22,Cádiz,5,A través de otra persona
18,Mujer,22,Cádiz,4,A través de otra persona
19,Hombre,22,Cádiz,3,A través de otra persona
20,Mujer,74,Cádiz,5,Familia
21,Mujer,23,Cádiz,5,Familia
22,Hombre,23,Cerdeña,3,Aficiones comunes
23,Mujer,22,Cádiz,5,Estudios de Primaria/Secundaria
24,Hombre,25,Cádiz,4,Aficiones comunes
25,Mujer,26,Málaga,4,Familia
26,Mujer,23,Cádiz,5,Estudios de Primaria/Secundaria
27,Mujer,23,Cádiz,4,Estudios de Primaria/Secundaria
28,Mujer,22,Madrid,3,Estudios Superiores
29,Hombre,25,Barcelona,4,Estudios Superiores
