,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,34,Madrid,5,Estudios Superiores
1,Mujer,35,Madrid,5,Vecino/a
2,Hombre,34,Madrid,5,Estudios de Primaria/Secundaria
3,Hombre,31,Madrid,4,A través de otra persona
4,Hombre,34,Madrid,4,Aficiones comunes
5,Mujer,24,Barcelona,4,A través de otra persona
6,Mujer,25,Barcelona,3,A través de otra persona
7,Mujer,34,Madrid,3,Estudios Superiores
8,Hombre,33,Madrid,4,A través de otra persona
9,Hombre,42,Madrid,3,A través de otra persona
10,Hombre,35,Madrid,3,A través de otra persona
11,Mujer,38,Madrid,3,Aficiones comunes
12,Hombre,40,Madrid,3,Trabajo
13,Mujer,45,Madrid,3,Trabajo
14,Mujer,62,Madrid,1,Trabajo
15,Hombre,40,Alcorcón,3,Trabajo
16,Hombre,30,Becerril de la Sierra,4,A través de otra persona
17,Hombre,41,Alcalá de Henares,3,Trabajo
18,Hombre,61,Madrid,2,Trabajo
19,Hombre,32,Madrid,4,Aficiones comunes
20,Hombre,50,Madrid,3,Trabajo
21,Hombre,50,Madrid,3,Trabajo
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
