,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,55.0,Valencia ,5.0,Otro
1,Hombre,45.0,Puig,2.0,Trabajo
2,Hombre,45.0,Puzol,4.0,Trabajo
3,Hombre,60.0,Mislata,2.0,Trabajo
4,Hombre,58.0,La cañada,2.0,Trabajo
5,Hombre,58.0,Valencia ,3.0,Familia
6,Hombre,55.0,Lliria,3.0,Trabajo
7,Hombre,59.0,Valencia,3.0,Vecino/a
8,Hombre,66.0,Alboraya,3.0,Aficiones comunes
9,Hombre,65.0,Alboraya,4.0,Aficiones comunes
10,Hombre,58.0,Sot de ferrer,5.0,Aficiones comunes
11,Mujer,57.0,Valencia,3.0,Vecino/a
12,Mujer,65.0,Valencia ,5.0,Vecino/a
13,Otro,22.0,Chirivella,3.0,Trabajo
14,Mujer,41.0,Valencia ,4.0,Otro
15,Mujer,58.0,Campo olivar,3.0,Trabajo
16,Mujer,38.0,Manises,4.0,Trabajo
17,Hombre,60.0,Valencia ,4.0,A través de otra persona
18,Hombre,54.0,Lliria,4.0,Trabajo
19,Hombre,58.0,La cañada,1.0,Trabajo
20,Hombre,44.0,Campanar,4.0,A través de otra persona
21,Mujer,42.0,Benimaclet ,2.0,Otro
22,Mujer,56.0,Valencia ,4.0,A través de otra persona
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
