,Gender,Age,Residency,EmotionalProximity,Context
0,Hombre,55,Madrid,5,Familia
1,Mujer,52,Madrid,5,Familia
2,Mujer,20,Madrid,4,Familia
3,Mujer,22,Copenhague ,5,Estudios Superiores
4,Hombre,23,Bruselas,5,Estudios Superiores
5,Hombre,23,Manchester ,5,Estudios Superiores
6,Hombre,23,Madrid,5,Estudios Superiores
7,Mujer,23,Madrid,5,Estudios de Primaria/Secundaria
8,Mujer,23,Madrid,5,Estudios de Primaria/Secundaria
9,Mujer,23,Madrid,5,Estudios de Primaria/Secundaria
10,Mujer,50,Madrid,5,Familia
11,Mujer,83,Madrid,5,Familia
12,Hombre,79,Madrid,5,Familia
13,Mujer,79,Madrid,5,Familia
14,Hombre,22,Copenhague ,4,Estudios Superiores
15,Hombre,22,Copenaghe ,5,Estudios Superiores
16,Mujer,22,Copenhague ,4,Estudios Superiores
17,Mujer,22,Madrid,3,Estudios Superiores
18,Hombre,22,Manchester ,3,A través de otra persona
19,Mujer,22,Madrid,3,Estudios Superiores
20,Mujer,22,Madrid,4,Estudios de Primaria/Secundaria
21,Mujer,22,Madrid,4,Estudios de Primaria/Secundaria
22,Mujer,22,Madrid,4,Estudios de Primaria/Secundaria
23,Mujer,22,Madrid,3,Estudios de Primaria/Secundaria
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
