,Gender,Age,Residency,EmotionalProximity,Context
0,Hombre,24.0,Madrid,5.0,Otro
1,Mujer,23.0,Madrid,5.0,Familia
2,Hombre,23.0,Madrid centro,5.0,Estudios de Primaria/Secundaria
3,Mujer,23.0,Toledo,5.0,Estudios de Primaria/Secundaria
4,Mujer,56.0,Madrid,5.0,Familia
5,Hombre,52.0,Madrid,5.0,Familia
6,Mujer,40.0,Madrid sur,4.0,Familia
7,Mujer,43.0,Madrid centro,2.0,Estudios Superiores
8,Mujer,52.0,Madrid sur,1.0,Trabajo
9,Hombre,24.0,Madrid sur,1.0,A través de otra persona
10,Hombre,24.0,Madrid Sur,1.0,A través de otra persona
11,Mujer,82.0,Madrid sur,4.0,Familia
12,Mujer,23.0,Madrid sur,4.0,Estudios de Primaria/Secundaria
13,Mujer,23.0,Madrid centro,4.0,Estudios Superiores
14,Otro,23.0,Madrid sur,4.0,Estudios Superiores
15,Mujer,23.0,Madrid centro,4.0,Estudios Superiores
16,Mujer,23.0,Madrid sur,3.0,A través de otra persona
17,Mujer,34.0,No sé,1.0,Trabajo
18,Hombre,41.0,Madrid sur,1.0,Otro
19,Mujer,21.0,NS/NC,1.0,Trabajo
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
