,alter_j,alter_k,relationship
0.0,0,1,Sí
1.0,0,2,No
2.0,0,3,Quizás
3.0,0,4,Sí
4.0,0,5,Sí
5.0,0,6,Sí
6.0,0,7,Sí
7.0,0,8,No
8.0,0,9,Sí
9.0,0,10,Quizás
10.0,0,11,No
11.0,0,12,No
12.0,0,13,No
13.0,0,14,No
14.0,0,15,No
15.0,0,16,No
16.0,0,17,No
17.0,0,18,No
18.0,0,19,No
19.0,0,20,No
20.0,0,21,Sí
21.0,0,22,No
22.0,0,23,No
23.0,0,24,No
24.0,0,25,Sí
25.0,0,26,Sí
26.0,0,27,No
27.0,0,28,Sí
28.0,0,29,Sí
29.0,1,2,No
30.0,1,3,Sí
31.0,1,4,Quizás
32.0,1,5,Quizás
33.0,1,6,Quizás
34.0,1,7,Quizás
35.0,1,8,No
36.0,1,9,Sí
37.0,1,10,Quizás
38.0,1,11,No
39.0,1,12,No
40.0,1,13,No
41.0,1,14,No
42.0,1,15,No
43.0,1,16,No
44.0,1,17,No
45.0,1,18,No
46.0,1,19,No
47.0,1,20,No
48.0,1,21,Quizás
49.0,1,22,No
50.0,1,23,No
51.0,1,24,No
52.0,1,25,Sí
53.0,1,26,Quizás
54.0,1,27,No
55.0,1,28,Sí
56.0,1,29,No
57.0,2,3,No
58.0,2,4,No
59.0,2,5,No
60.0,2,6,No
61.0,2,7,No
62.0,2,8,No
63.0,2,9,No
64.0,2,10,Sí
65.0,2,11,No
66.0,2,12,No
67.0,2,13,No
68.0,2,14,No
69.0,2,15,No
70.0,2,16,No
71.0,2,17,Quizás
72.0,2,18,No
73.0,2,19,No
74.0,2,20,No
75.0,2,21,No
76.0,2,22,No
77.0,2,23,Quizás
78.0,2,24,No
79.0,2,25,No
80.0,2,26,No
81.0,2,27,No
82.0,2,28,No
83.0,2,29,No
84.0,3,4,Quizás
85.0,3,5,Quizás
86.0,3,6,No
87.0,3,7,Sí
88.0,3,8,No
89.0,3,9,No
90.0,3,10,Quizás
91.0,3,11,No
92.0,3,12,No
93.0,3,13,No
94.0,3,14,No
95.0,3,15,No
96.0,3,16,No
97.0,3,17,No
98.0,3,18,No
99.0,3,19,No
100.0,3,20,No
101.0,3,21,Quizás
102.0,3,22,No
103.0,3,23,No
104.0,3,24,No
105.0,3,25,Quizás
106.0,3,26,No
107.0,3,27,No
108.0,3,28,No
109.0,3,29,No
110.0,4,5,Sí
111.0,4,6,Sí
112.0,4,7,Quizás
113.0,4,8,No
114.0,4,9,Sí
115.0,4,10,Quizás
116.0,4,11,No
117.0,4,12,No
118.0,4,13,No
119.0,4,14,No
120.0,4,15,No
121.0,4,16,No
122.0,4,17,No
123.0,4,18,No
124.0,4,19,No
125.0,4,20,No
126.0,4,21,Sí
127.0,4,22,No
128.0,4,23,No
129.0,4,24,No
130.0,4,25,Sí
131.0,4,26,Sí
132.0,4,27,No
133.0,4,28,Sí
134.0,4,29,Sí
135.0,5,6,Quizás
136.0,5,7,Quizás
137.0,5,8,Quizás
138.0,5,9,Sí
139.0,5,10,Quizás
140.0,5,11,No
141.0,5,12,No
142.0,5,13,No
143.0,5,14,No
144.0,5,15,No
145.0,5,16,No
146.0,5,17,No
147.0,5,18,No
148.0,5,19,No
149.0,5,20,No
150.0,5,21,Quizás
151.0,5,22,No
152.0,5,23,No
153.0,5,24,No
154.0,5,25,Sí
155.0,5,26,Sí
156.0,5,27,No
157.0,5,28,Sí
158.0,5,29,Quizás
159.0,6,7,No
160.0,6,8,No
161.0,6,9,Quizás
162.0,6,10,Quizás
163.0,6,11,No
164.0,6,12,No
165.0,6,13,No
166.0,6,14,No
167.0,6,15,No
168.0,6,16,No
169.0,6,17,No
170.0,6,18,No
171.0,6,19,No
172.0,6,20,No
173.0,6,21,Sí
174.0,6,22,No
175.0,6,23,No
176.0,6,24,No
177.0,6,25,Sí
178.0,6,26,Quizás
179.0,6,27,No
180.0,6,28,Sí
181.0,6,29,Quizás
182.0,7,8,Sí
183.0,7,9,Sí
184.0,7,10,Sí
185.0,7,11,Sí
186.0,7,12,Sí
187.0,7,13,Sí
188.0,7,14,Sí
189.0,7,15,No
190.0,7,16,No
191.0,7,17,No
192.0,7,18,Sí
193.0,7,19,Sí
194.0,7,20,Sí
195.0,7,21,Sí
196.0,7,22,Sí
197.0,7,23,Quizás
198.0,7,24,No
199.0,7,25,Sí
200.0,7,26,No
201.0,7,27,Sí
202.0,7,28,No
203.0,7,29,No
204.0,8,9,Sí
205.0,8,10,Sí
206.0,8,11,Sí
207.0,8,12,Sí
208.0,8,13,Sí
209.0,8,14,Sí
210.0,8,15,No
211.0,8,16,No
212.0,8,17,No
213.0,8,18,Sí
214.0,8,19,Sí
215.0,8,20,Sí
216.0,8,21,Sí
217.0,8,22,Sí
218.0,8,23,No
219.0,8,24,No
220.0,8,25,No
221.0,8,26,No
222.0,8,27,Sí
223.0,8,28,No
224.0,8,29,No
225.0,9,10,Quizás
226.0,9,11,No
227.0,9,12,No
228.0,9,13,Sí
229.0,9,14,Sí
230.0,9,15,No
231.0,9,16,No
232.0,9,17,No
233.0,9,18,No
234.0,9,19,No
235.0,9,20,No
236.0,9,21,Sí
237.0,9,22,Quizás
238.0,9,23,No
239.0,9,24,No
240.0,9,25,Sí
241.0,9,26,Sí
242.0,9,27,No
243.0,9,28,Sí
244.0,9,29,Sí
245.0,10,11,Sí
246.0,10,12,Sí
247.0,10,13,Sí
248.0,10,14,Sí
249.0,10,15,Sí
250.0,10,16,Sí
251.0,10,17,Sí
252.0,10,18,Sí
253.0,10,19,Sí
254.0,10,20,Sí
255.0,10,21,Sí
256.0,10,22,Sí
257.0,10,23,Sí
258.0,10,24,No
259.0,10,25,Quizás
260.0,10,26,Quizás
261.0,10,27,Sí
262.0,10,28,No
263.0,10,29,No
264.0,11,12,Sí
265.0,11,13,Sí
266.0,11,14,Sí
267.0,11,15,No
268.0,11,16,No
269.0,11,17,No
270.0,11,18,Sí
271.0,11,19,Sí
272.0,11,20,Sí
273.0,11,21,Sí
274.0,11,22,Sí
275.0,11,23,No
276.0,11,24,No
277.0,11,25,No
278.0,11,26,No
279.0,11,27,Sí
280.0,11,28,No
281.0,11,29,No
282.0,12,13,Sí
283.0,12,14,Sí
284.0,12,15,No
285.0,12,16,No
