,Gender,Age,Residency,EmotionalProximity,Context
0,Hombre,29.0,madrid,4.0,A través de otra persona
1,Hombre,25.0,madrid,3.0,Familia
2,Mujer,56.0,madrid,4.0,Familia
3,Hombre,55.0,madrid,3.0,Familia
4,Mujer,86.0,madrid,4.0,Familia
5,Mujer,85.0,madrid,4.0,Familia
6,Mujer,61.0,madrid,3.0,Familia
7,Mujer,60.0,ciudad real,4.0,Familia
8,Hombre,31.0,algeciras,3.0,Familia
9,Hombre,34.0,Londres,2.0,Familia
10,Mujer,25.0,Ciudad Real,4.0,Familia
11,Mujer,29.0,Madrid,3.0,A través de otra persona
12,Mujer,35.0,Toledo,3.0,Familia
13,Hombre,29.0,Madrid,3.0,Familia
14,Hombre,20.0,Albacete,1.0,Familia
15,Mujer,53.0,Madrid,4.0,Familia
16,Hombre,52.0,Madrid,4.0,Familia
17,Hombre,25.0,Madrid,3.0,Familia
18,Mujer,25.0,Madrid,2.0,Otro
19,Mujer,19.0,Toledo,3.0,Familia
20,Mujer,19.0,Toledo,3.0,Familia
21,Hombre,18.0,Toledo,3.0,Familia
22,Hombre,22.0,Toledo,2.0,Familia
23,Mujer,21.0,Toledo,2.0,Familia
24,Mujer,27.0,Toledo,2.0,Otro
25,Hombre,30.0,Toledo,1.0,Familia
26,Mujer,31.0,Madrid,2.0,Estudios Superiores
27,Mujer,30.0,Madrid,3.0,Estudios Superiores
28,Mujer,30.0,Toledo,1.0,Otro
29,Mujer,23.0,Madrid,2.0,Familia
30,Hombre,30.0,Madrid,3.0,Estudios de Primaria/Secundaria
31,Mujer,30.0,Canarias,2.0,Estudios Superiores
32,Mujer,30.0,Madrid,2.0,Trabajo
33,Mujer,30.0,Galicia,3.0,Estudios Superiores
34,Mujer,33.0,madrid,4.0,Estudios Superiores
35,Mujer,33.0,Madrid,2.0,Trabajo
36,Mujer,30.0,madrid,2.0,Trabajo
37,Hombre,63.0,Madrid,2.0,Trabajo
38,Hombre,31.0,Madrid,3.0,Trabajo
39,Hombre,30.0,Toledo,5.0,Familia
40,Mujer,32.0,Toledo,2.0,Familia
41,Hombre,34.0,Toledo,4.0,Familia
42,Hombre,28.0,Madrid,2.0,A través de otra persona
43,Mujer,60.0,Madrid,3.0,Vecino/a
44,Hombre,62.0,Madrid,3.0,Vecino/a
