,Gender,Age,Residency,EmotionalProximity,Context
0,Hombre,31.0,Madrid,5.0,Estudios Superiores
1,Mujer,29.0,Madrid,4.0,A través de otra persona
2,Mujer,29.0,Toledo,4.0,A través de otra persona
3,Mujer,29.0,Toledo ,4.0,Estudios de Primaria/Secundaria
4,Mujer,29.0,Mallorca,4.0,A través de otra persona
5,Mujer,29.0,Australia,3.0,A través de otra persona
6,Mujer,29.0,Madrid,4.0,A través de otra persona
7,Mujer,29.0,Madrid,4.0,A través de otra persona
8,Mujer,29.0,Toledo,4.0,A través de otra persona
9,Mujer,28.0,Toledo,4.0,A través de otra persona
10,Hombre,30.0,Madrid,2.0,A través de otra persona
11,Hombre,34.0,Toledo ,2.0,A través de otra persona
12,Hombre,31.0,Toledo ,2.0,A través de otra persona
13,Hombre,29.0,Madrid,1.0,A través de otra persona
14,Hombre,34.0,Toledo ,3.0,Trabajo
15,Hombre,29.0,Madrid ,3.0,Trabajo
16,Mujer,29.0,Malaga,2.0,A través de otra persona
17,Hombre,35.0,Toledo,2.0,A través de otra persona
18,Hombre,22.0,Toledo ,5.0,Familia
19,Mujer,29.0,Toledo ,1.0,Estudios de Primaria/Secundaria
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
