,Gender,Age,Residency,EmotionalProximity,Context
0,Hombre,21.0,Madrid,5.0,Estudios de Primaria/Secundaria
1,Mujer,57.0,Madrid,5.0,Familia
2,Mujer,60.0,Barcelona,5.0,Familia
3,Hombre,50.0,Barcelona,4.0,Familia
4,Mujer,57.0,Madrid,4.0,Familia
5,Hombre,63.0,Barcelona,3.0,Familia
6,Hombre,54.0,Madrid,5.0,Familia
7,Mujer,16.0,Madrid,5.0,Familia
8,Hombre,24.0,Madrid,5.0,Familia
9,Mujer,22.0,Madrid,5.0,Familia
10,Hombre,24.0,Barcelona,5.0,Familia
11,Hombre,24.0,Madrid,4.0,Familia
12,Hombre,26.0,Miami,4.0,Familia
13,Hombre,24.0,Madrid,5.0,Familia
14,Hombre,24.0,Barcelona,3.0,A través de otra persona
15,Mujer,20.0,Madrid,4.0,Estudios de Primaria/Secundaria
16,Mujer,21.0,madrid,5.0,Estudios de Primaria/Secundaria
17,Mujer,20.0,Madrid,4.0,Estudios de Primaria/Secundaria
18,Mujer,49.0,Madrid,2.0,Trabajo
19,Mujer,20.0,Madrid,5.0,Estudios Superiores
20,Mujer,34.0,Madrid,4.0,Trabajo
21,Hombre,35.0,Madrid,4.0,Trabajo
22,Hombre,26.0,Madrid,4.0,Trabajo
23,Mujer,20.0,Madrid,4.0,Estudios Superiores
24,Mujer,20.0,Madrid,4.0,Estudios Superiores
25,Hombre,20.0,Madrid,5.0,Estudios Superiores
26,Hombre,20.0,Madrid,3.0,Estudios Superiores
27,Mujer,20.0,Madrid,3.0,Estudios Superiores
28,Hombre,22.0,Madrid,4.0,A través de otra persona
29,Hombre,22.0,Madrid,4.0,Familia
30,Mujer,43.0,Madrid,3.0,Trabajo
31,Mujer,16.0,Madrid,3.0,A través de otra persona
32,Hombre,23.0,Madrid,4.0,Estudios Superiores
33,Mujer,20.0,Madrid,4.0,Estudios de Primaria/Secundaria
34,Mujer,20.0,Madrid,4.0,Estudios de Primaria/Secundaria
35,Mujer,20.0,Madrid,4.0,Estudios de Primaria/Secundaria
36,Mujer,21.0,Madrid,4.0,Estudios de Primaria/Secundaria
37,Mujer,20.0,Madrid,3.0,Aficiones comunes
38,Mujer,20.0,Pamplona,4.0,Aficiones comunes
39,Hombre,39.0,Mexico,4.0,Trabajo
40,Mujer,90.0,Barcelona,5.0,Familia
41,Hombre,33.0,Madrid,3.0,Familia
42,,,,,
43,,,,,
44,,,,,
