,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,26,Segovia,5,Familia
1,Mujer,60,Zaragoza,4,Familia
2,Mujer,65,Madrid,2,Trabajo
3,Mujer,23,Madrid,5,Familia
4,Mujer,23,Madrid,2,Estudios Superiores
5,Mujer,24,Madrid,3,Estudios Superiores
6,Mujer,23,Tomelloso,5,Aficiones comunes
7,Hombre,28,Segovia,3,A través de otra persona
8,Hombre,57,Zaragoza,1,Familia
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
