,Gender,Age,Residency,EmotionalProximity,Context
0,Hombre,41,Madrid,5,A través de otra persona
1,Mujer,61,Madrid,4,Familia
2,Hombre,36,Madrid,3,A través de otra persona
3,Mujer,34,Madrid,4,Estudios de Primaria/Secundaria
4,Hombre,36,Madrid,3,Otro
5,Mujer,34,Madrid,3,Estudios de Primaria/Secundaria
6,Mujer,38,Madrid,2,Trabajo
7,Mujer,25,Madrid,4,Estudios Superiores
8,Hombre,35,Madrid,4,Estudios Superiores
9,Hombre,64,Madrid,4,Familia
10,Mujer,25,Madrid,4,Estudios Superiores
11,Hombre,35,Madrid,4,Otro
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
