,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,50,Getafe,5,Aficiones comunes
1,Mujer,19,Getafe,5,Familia
2,Hombre,15,Getafe ,5,Familia
3,Hombre,72,Getafe,4,Familia
4,Mujer,70,Getafe ,4,Familia
5,Mujer,44,Miraflores ,4,Familia
6,Hombre,52,Getafe ,3,Vecino/a
7,Mujer,45,Getafe ,3,Vecino/a
8,Mujer,51,Getafe ,3,Vecino/a
9,Hombre,21,Getafe ,3,Familia
10,Hombre,6,Getafe ,3,Familia
11,Hombre,60,Villalba,2,Trabajo
12,Mujer,46,Madrid ,2,Trabajo
13,Mujer,44,Madrid ,2,Trabajo
14,Hombre,52,Leganes,2,Trabajo
15,Mujer,40,Madrid ,2,Trabajo
16,Mujer,46,Mostoles,3,Trabajo
17,Mujer,50,Getafe ,4,Aficiones comunes
18,Hombre,54,Getafe ,4,Aficiones comunes
19,Hombre,48,Getafe ,2,Aficiones comunes
20,Hombre,62,Getafe ,1,Aficiones comunes
21,Hombre,48,Getafe ,1,A través de otra persona
22,Mujer,35,Getafe ,2,A través de otra persona
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
