,alter_j,alter_k,relationship
0.0,0,1,Sí
1.0,0,2,Sí
2.0,0,3,Sí
3.0,0,4,Quizás
4.0,0,5,No
5.0,0,6,Sí
6.0,0,7,Sí
7.0,0,8,Sí
8.0,0,9,Sí
9.0,0,10,Sí
10.0,0,11,Sí
11.0,0,12,No
12.0,0,13,No
13.0,0,14,No
14.0,0,15,No
15.0,0,16,No
16.0,0,17,No
17.0,0,18,Quizás
18.0,0,19,Quizás
19.0,0,20,No
20.0,0,21,No
21.0,0,22,No
22.0,0,23,No
23.0,0,24,No
24.0,0,25,No
25.0,0,26,No
26.0,0,27,No
27.0,0,28,No
28.0,0,29,No
29.0,1,2,Sí
30.0,1,3,Sí
31.0,1,4,Quizás
32.0,1,5,No
33.0,1,6,No
34.0,1,7,No
35.0,1,8,No
36.0,1,9,Quizás
37.0,1,10,Quizás
38.0,1,11,Sí
39.0,1,12,No
40.0,1,13,No
41.0,1,14,No
42.0,1,15,Quizás
43.0,1,16,No
44.0,1,17,Quizás
45.0,1,18,No
46.0,1,19,Quizás
47.0,1,20,No
48.0,1,21,Quizás
49.0,1,22,No
50.0,1,23,Quizás
51.0,1,24,Quizás
52.0,1,25,Quizás
53.0,1,26,Quizás
54.0,1,27,No
55.0,1,28,Quizás
56.0,1,29,Quizás
57.0,2,3,Sí
58.0,2,4,No
59.0,2,5,No
60.0,2,6,No
61.0,2,7,No
62.0,2,8,Quizás
63.0,2,9,No
64.0,2,10,Quizás
65.0,2,11,No
66.0,2,12,Quizás
67.0,2,13,No
68.0,2,14,No
69.0,2,15,Quizás
70.0,2,16,Quizás
71.0,2,17,No
72.0,2,18,Quizás
73.0,2,19,Quizás
74.0,2,20,Quizás
75.0,2,21,Quizás
76.0,2,22,Sí
77.0,2,23,Quizás
78.0,2,24,No
79.0,2,25,Quizás
80.0,2,26,Quizás
81.0,2,27,Quizás
82.0,2,28,Quizás
83.0,2,29,Sí
84.0,3,4,Quizás
85.0,3,5,Quizás
86.0,3,6,Quizás
87.0,3,7,Quizás
88.0,3,8,Quizás
89.0,3,9,Sí
90.0,3,10,Quizás
91.0,3,11,No
92.0,3,12,Quizás
93.0,3,13,Quizás
94.0,3,14,Quizás
95.0,3,15,Quizás
96.0,3,16,Quizás
97.0,3,17,Quizás
98.0,3,18,No
99.0,3,19,Sí
100.0,3,20,No
101.0,3,21,Quizás
102.0,3,22,Quizás
103.0,3,23,Sí
104.0,3,24,Sí
105.0,3,25,No
106.0,3,26,No
107.0,3,27,Quizás
108.0,3,28,Sí
109.0,3,29,Quizás
110.0,4,5,Quizás
111.0,4,6,Sí
112.0,4,7,Quizás
113.0,4,8,No
114.0,4,9,No
115.0,4,10,No
116.0,4,11,No
117.0,4,12,No
118.0,4,13,No
119.0,4,14,Quizás
120.0,4,15,Sí
121.0,4,16,Quizás
122.0,4,17,Quizás
123.0,4,18,Quizás
124.0,4,19,Quizás
125.0,4,20,Quizás
126.0,4,21,Quizás
127.0,4,22,Quizás
128.0,4,23,Quizás
129.0,4,24,Sí
130.0,4,25,Sí
131.0,4,26,No
132.0,4,27,Sí
133.0,4,28,Quizás
134.0,4,29,Sí
135.0,5,6,Quizás
136.0,5,7,Sí
137.0,5,8,Sí
138.0,5,9,Quizás
139.0,5,10,Sí
140.0,5,11,Quizás
141.0,5,12,Sí
142.0,5,13,Quizás
143.0,5,14,Sí
144.0,5,15,No
145.0,5,16,Quizás
146.0,5,17,Quizás
