,Gender,Age,Residency,EmotionalProximity,Context
0,Hombre,21,Madrid,5,Aficiones comunes
1,Mujer,60,Madrid,5,Familia
2,Hombre,20,Madrid,5,Familia
3,Hombre,57,Madrid,4,Familia
4,Mujer,21,Madrid,2,Aficiones comunes
5,Mujer,21,Madrid,4,Aficiones comunes
6,Hombre,23,Zamora,4,Estudios Superiores
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
