,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,28,COSLADA,3,A través de otra persona
1,Mujer,28,coslada,5,Familia
2,Mujer,28,coslada,3,A través de otra persona
3,Mujer,40,Ventas,2,Aficiones comunes
4,Mujer,27,BARCELONA,5,Aficiones comunes
5,Mujer,26,albacete,5,Estudios Superiores
6,Mujer,26,Goya,1,Aficiones comunes
7,Mujer,26,SEVILLA,1,Trabajo
8,Mujer,24,CORUÑA,4,A través de otra persona
9,Mujer,27,BARCELONA,5,Estudios Superiores
10,Mujer,25,coslada,5,Estudios de Primaria/Secundaria
11,Mujer,28,coslada,3,A través de otra persona
12,Hombre,27,coslada,3,A través de otra persona
13,Mujer,24,coslada,5,Estudios de Primaria/Secundaria
14,Hombre,29,coslada,2,A través de otra persona
15,Hombre,25,tetuán,4,Estudios Superiores
16,Mujer,25,MADRID CENTRO,3,Estudios Superiores
17,Mujer,25,GETAFE,2,Estudios Superiores
18,Mujer,25,MADRID CENTRO,3,Estudios Superiores
19,Mujer,25,GETAFE,3,A través de otra persona
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
