,Gender,Age,Residency,EmotionalProximity,Context
0,Hombre,56,Madrid,5,Familia
1,Mujer,56,Madrid,5,Familia
2,Mujer,27,madrid,5,Familia
3,Hombre,26,Madrid,5,Estudios Superiores
4,Mujer,25,Madrid,5,Estudios de Primaria/Secundaria
5,Mujer,25,Madrid,4,Estudios de Primaria/Secundaria
6,Mujer,24,Madrid,4,Estudios Superiores
7,Hombre,24,Madrid,5,Estudios Superiores
8,Hombre,24,Madrid,4,Estudios Superiores
9,Hombre,24,Madrid,4,Estudios Superiores
10,Mujer,23,Madrid,3,Estudios Superiores
11,Hombre,25,Madrid,3,Estudios Superiores
12,Hombre,25,Madrid,4,Estudios Superiores
13,Hombre,23,Madrid,4,Estudios Superiores
14,Hombre,24,Madrid,2,Estudios Superiores
15,Hombre,24,Madrid,2,Estudios Superiores
16,Mujer,93,Madrid,4,Familia
17,Hombre,24,Madrid,3,Estudios de Primaria/Secundaria
18,Hombre,23,Madrid,4,Estudios Superiores
19,Hombre,24,Madrid,2,Estudios Superiores
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
