,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,54,Madrid,5,Familia
1,Mujer,27,Barcelona,5,Familia
2,Mujer,25,Madrid,5,A través de otra persona
3,Hombre,22,Guadalajara ,5,Estudios Superiores
4,Mujer,24,Madrid ,5,Familia
5,Mujer,64,Madrid,3,Familia
6,Mujer,26,Madrid,4,Aficiones comunes
7,Mujer,27,Madrid ,4,Aficiones comunes
8,Mujer,26,Madrid ,5,Estudios de Primaria/Secundaria
9,Hombre,27,Madrid,4,Estudios de Primaria/Secundaria
10,Mujer,28,Cuenca,5,Trabajo
11,Mujer,56,Madrid ,2,Vecino/a
12,Mujer,25,Albacete ,4,Estudios Superiores
13,Mujer,26,Albacete ,3,Estudios Superiores
14,Hombre,27,Cuenca ,1,Otro
15,Mujer,32,Madrid ,2,Aficiones comunes
16,Mujer,30,México ,4,Estudios Superiores
17,Mujer,25,México ,4,A través de otra persona
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
