,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,22,Leganés ,5,Estudios Superiores
1,Hombre,22,Madrid ,2,Aficiones comunes
2,Hombre,23,Madrid ,3,Aficiones comunes
3,Hombre,26,Madrid,3,Aficiones comunes
4,Hombre,22,Madrid ,2,Aficiones comunes
5,Hombre,23,Madrid,2,Aficiones comunes
6,Mujer,22,Villanueva de la Cañada,4,Estudios Superiores
7,Hombre,22,Móstoles ,4,Estudios Superiores
8,Hombre,19,Madrid ,2,Aficiones comunes
9,Hombre,30,Madrid,2,Aficiones comunes
10,Mujer,22,Leganés ,2,Estudios Superiores
11,Mujer,22,Fuenlabrada ,2,Estudios Superiores
12,Mujer,22,Brunete,3,Estudios Superiores
13,Hombre,22,Leganés ,1,Estudios Superiores
14,Hombre,22,Alcorcón ,2,Estudios Superiores
15,Hombre,18,Madrid ,2,Aficiones comunes
16,Mujer,26,Madrid,2,Familia
17,Hombre,60,Madrid ,4,Familia
18,Mujer,26,Madrid ,3,Vecino/a
19,Mujer,18,Madrid ,4,Vecino/a
20,Mujer,22,Madrid ,3,A través de otra persona
21,Hombre,24,Madrid ,3,Vecino/a
22,Hombre,27,Madrid ,2,Familia
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
