,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,38.0,Valladolid,5.0,Familia
1,Hombre,45.0,Valladolid,5.0,Estudios de Primaria/Secundaria
2,Hombre,58.0,Valladolid,3.0,Trabajo
3,Hombre,68.0,Astorga,1.0,Trabajo
4,Mujer,53.0,Astorga,2.0,Vecino/a
5,Mujer,48.0,Astorga,2.0,Familia
6,Mujer,55.0,Astorga,2.0,Otro
7,Mujer,63.0,Astorga,1.0,Otro
8,Hombre,55.0,Astorga,1.0,Vecino/a
9,Hombre,33.0,Astorga,5.0,Familia
10,Hombre,40.0,Astorga,3.0,Vecino/a
11,Mujer,70.0,Astorga,3.0,Vecino/a
12,Hombre,45.0,Villafranca del Bierzo,3.0,Trabajo
13,Mujer,43.0,Ponferrada,1.0,Trabajo
14,Mujer,50.0,Ponferrada,2.0,Trabajo
15,Mujer,35.0,Ponferrada,1.0,A través de otra persona
16,Mujer,35.0,Eibar,3.0,Familia
17,Hombre,52.0,Celada de la Vega,5.0,Familia
18,Mujer,50.0,León,5.0,Familia
19,Mujer,42.0,Astorga,5.0,Familia
20,Mujer,41.0,Astorga,5.0,Aficiones comunes
21,Hombre,42.0,León,5.0,Familia
22,Mujer,41.0,Laguna de Duero,5.0,Familia
23,Mujer,21.0,Valladolid,5.0,Familia
24,Mujer,36.0,Alcázar de San Juan,5.0,Familia
25,Hombre,66.0,Valladolid,5.0,Familia
26,Mujer,65.0,Valladolid,5.0,Familia
27,Hombre,68.0,Laguna de Duero,5.0,Familia
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
