,Gender,Age,Residency,EmotionalProximity,Context
0,Hombre,58.0,Bilbao ,5.0,A través de otra persona
1,Hombre,60.0,Bilbao ,5.0,Familia
2,Hombre,56.0,Bilbao ,5.0,Familia
3,Mujer,62.0,Bilbao ,4.0,A través de otra persona
4,Mujer,56.0,Bilbao ,3.0,A través de otra persona
5,Mujer,56.0,Bilbao ,4.0,A través de otra persona
6,Mujer,55.0,Bilbao ,5.0,Familia
7,Mujer,32.0,Bilbao ,2.0,A través de otra persona
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
