,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,30.0,Madrid ,5.0,Aficiones comunes
1,Mujer,25.0,Ecuador ,5.0,Estudios de Primaria/Secundaria
2,Mujer,25.0,Ecuador ,5.0,Estudios de Primaria/Secundaria
3,Mujer,25.0,Madrid ,4.0,Estudios Superiores
4,Mujer,26.0,Madrid ,4.0,A través de otra persona
5,Mujer,25.0,Madrid,4.0,Estudios Superiores
6,Hombre,27.0,Madrid ,5.0,Estudios Superiores
7,Mujer,25.0,Madrid ,4.0,Estudios de Primaria/Secundaria
8,Hombre,27.0,Madrid ,2.0,A través de otra persona
9,Hombre,19.0,Madrid ,5.0,Familia
10,Mujer,54.0,Madrid ,5.0,Familia
11,Hombre,50.0,Francia ,5.0,Familia
12,Hombre,21.0,Francia ,4.0,Familia
13,Mujer,25.0,Madrid ,4.0,A través de otra persona
14,Hombre,24.0,Madrid ,2.0,Estudios Superiores
15,Hombre,25.0,Madrid ,2.0,Estudios Superiores
16,Hombre,60.0,Madrid ,4.0,Familia
17,Hombre,27.0,Ecuador ,2.0,Familia
18,Mujer,56.0,Madrid,3.0,A través de otra persona
19,Mujer,50.0,Madrid ,4.0,Familia
20,Mujer,27.0,Hungría ,4.0,A través de otra persona
21,Mujer,36.0,Madrid ,2.0,A través de otra persona
22,Mujer,54.0,Ecuador ,4.0,Familia
23,Hombre,56.0,Madrid ,2.0,A través de otra persona
24,Mujer,48.0,Madrid ,2.0,Familia
25,Mujer,65.0,Madrid ,2.0,A través de otra persona
26,Mujer,59.0,Ecuador ,2.0,Familia
27,Hombre,37.0,Madrid ,2.0,A través de otra persona
28,Hombre,49.0,Madrid ,2.0,Familia
29,Hombre,60.0,Madrid ,1.0,Familia
