,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,55.0,Melilla ,5.0,Familia
1,Hombre,57.0,Melilla ,5.0,Familia
2,Mujer,14.0,Melilla ,5.0,Familia
3,Mujer,22.0,Melilla ,5.0,Familia
4,Mujer,22.0,Talavera de la Reina ,5.0,Estudios Superiores
5,Hombre,21.0,Barcelona ,5.0,Otro
6,Mujer,23.0,Barcelona ,5.0,Estudios Superiores
7,Mujer,22.0,Madrid,5.0,Estudios Superiores
8,Hombre,22.0,Málaga ,3.0,Estudios Superiores
9,Hombre,22.0,Alicante,3.0,Estudios Superiores
10,Mujer,22.0,Madrid ,4.0,Otro
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
