,alter_j,alter_k,relationship
0.0,0,1,Sí
1.0,0,2,Sí
2.0,0,3,Sí
3.0,0,4,Sí
4.0,0,5,Sí
5.0,0,6,Sí
6.0,0,7,Quizás
7.0,0,8,Quizás
8.0,0,9,No
9.0,0,10,Sí
10.0,0,11,Quizás
11.0,0,12,No
12.0,0,13,No
13.0,0,14,Quizás
14.0,0,15,Quizás
15.0,0,16,Quizás
16.0,0,17,Sí
17.0,0,18,Quizás
18.0,0,19,No
19.0,0,20,Quizás
20.0,0,21,Sí
21.0,0,22,No
22.0,0,23,Quizás
23.0,0,24,Quizás
24.0,0,25,Sí
25.0,0,26,Sí
26.0,0,27,Sí
27.0,0,28,No
28.0,0,29,No
29.0,1,2,Quizás
30.0,1,3,No
31.0,1,4,No
32.0,1,5,Sí
33.0,1,6,Sí
34.0,1,7,Sí
35.0,1,8,Sí
36.0,1,9,Sí
37.0,1,10,Sí
38.0,1,11,Sí
39.0,1,12,Sí
40.0,1,13,Sí
41.0,1,14,Quizás
42.0,1,15,No
43.0,1,16,No
44.0,1,17,Quizás
45.0,1,18,Quizás
46.0,1,19,Quizás
47.0,1,20,Quizás
48.0,1,21,Quizás
49.0,1,22,Sí
50.0,1,23,Quizás
51.0,1,24,Quizás
52.0,1,25,Sí
53.0,1,26,Sí
54.0,1,27,No
55.0,1,28,No
56.0,1,29,Quizás
57.0,2,3,No
58.0,2,4,No
59.0,2,5,Quizás
60.0,2,6,Sí
61.0,2,7,Quizás
62.0,2,8,No
63.0,2,9,No
64.0,2,10,No
65.0,2,11,Quizás
66.0,2,12,Quizás
67.0,2,13,Sí
68.0,2,14,Sí
69.0,2,15,Sí
70.0,2,16,Sí
71.0,2,17,Quizás
72.0,2,18,Quizás
73.0,2,19,Sí
74.0,2,20,Sí
75.0,2,21,Quizás
76.0,2,22,Quizás
77.0,2,23,No
78.0,2,24,No
79.0,2,25,Quizás
80.0,2,26,Sí
81.0,2,27,Sí
82.0,2,28,Quizás
83.0,2,29,Sí
84.0,3,4,Quizás
85.0,3,5,Sí
86.0,3,6,Sí
87.0,3,7,Quizás
88.0,3,8,Quizás
89.0,3,9,Sí
90.0,3,10,Quizás
91.0,3,11,Sí
92.0,3,12,Quizás
93.0,3,13,Sí
94.0,3,14,Quizás
95.0,3,15,Sí
96.0,3,16,Quizás
97.0,3,17,Sí
98.0,3,18,Quizás
99.0,3,19,Sí
100.0,3,20,No
101.0,3,21,Quizás
102.0,3,22,Quizás
103.0,3,23,Sí
104.0,3,24,Quizás
105.0,3,25,Sí
106.0,3,26,Sí
107.0,3,27,Quizás
108.0,3,28,Sí
109.0,3,29,Quizás
110.0,4,5,Sí
111.0,4,6,Quizás
112.0,4,7,Sí
113.0,4,8,Quizás
114.0,4,9,Sí
115.0,4,10,Quizás
116.0,4,11,Sí
117.0,4,12,No
118.0,4,13,Quizás
119.0,4,14,Quizás
120.0,4,15,Quizás
121.0,4,16,Sí
122.0,4,17,Quizás
123.0,4,18,Sí
124.0,4,19,Quizás
125.0,4,20,Quizás
126.0,4,21,Sí
127.0,4,22,Sí
128.0,4,23,Sí
129.0,4,24,Sí
130.0,4,25,Sí
131.0,4,26,Sí
132.0,4,27,Quizás
133.0,4,28,Quizás
134.0,4,29,Quizás
135.0,5,6,Sí
136.0,5,7,Sí
137.0,5,8,Quizás
138.0,5,9,No
139.0,5,10,No
140.0,5,11,Quizás
141.0,5,12,No
142.0,5,13,Sí
