,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,35.0,Malaga,5.0,Familia
1,Hombre,23.0,Malaga,3.0,Estudios de Primaria/Secundaria
2,Mujer,24.0,Madrid,4.0,Estudios Superiores
3,Mujer,24.0,Mallorca,3.0,Aficiones comunes
4,Hombre,24.0,Malaga,3.0,Estudios de Primaria/Secundaria
5,Hombre,24.0,Madrid,4.0,Estudios Superiores
6,Hombre,24.0,Madrid,3.0,Estudios de Primaria/Secundaria
7,Mujer,25.0,Milan,4.0,A través de otra persona
8,Mujer,23.0,Malaga,4.0,Familia
9,Hombre,25.0,Munich,5.0,Estudios Superiores
10,Hombre,22.0,Madrid,3.0,Estudios Superiores
11,Mujer,24.0,Madrid,3.0,Trabajo
12,Mujer,25.0,Madrid,4.0,Estudios Superiores
13,Hombre,25.0,Madrid,4.0,Estudios Superiores
14,Hombre,22.0,Malaga,4.0,Estudios de Primaria/Secundaria
15,Mujer,24.0,Malaga,2.0,A través de otra persona
16,Mujer,25.0,Munich,2.0,A través de otra persona
17,Hombre,23.0,Munich,3.0,A través de otra persona
18,Mujer,24.0,Malaga,4.0,Estudios de Primaria/Secundaria
19,Mujer,24.0,Malaga,4.0,Estudios de Primaria/Secundaria
20,Hombre,22.0,Cannes,4.0,Familia
21,Hombre,21.0,Malaga,4.0,Familia
22,Mujer,43.0,Malaga,4.0,Familia
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
