,Gender,Age,Residency,EmotionalProximity,Context
0,Mujer,50,Algeciras ,4,Familia
1,Hombre,55,San Fernando ,2,Familia
2,Mujer,17,Algeciras ,3,Familia
3,Mujer,56,Algeciras,4,Vecino/a
4,Mujer,25,Sevilla,4,Vecino/a
5,Mujer,25,Algeciras,5,Estudios de Primaria/Secundaria
6,Mujer,25,Madrid,5,Estudios de Primaria/Secundaria
7,Mujer,24,Algeciras,5,Estudios de Primaria/Secundaria
8,Otro,31,Malaga,5,Otro
9,Mujer,23,Cadiz,5,Estudios Superiores
10,Mujer,24,Algeciras ,4,Estudios de Primaria/Secundaria
11,Mujer,24,Algeciras,3,A través de otra persona
12,Hombre,24,Madrid,3,Estudios Superiores
13,Mujer,24,Madrid,2,Estudios Superiores
14,Mujer,81,Cadiz,5,Familia
15,Mujer,90,San Fernando ,5,Familia
16,Hombre,24,Sydney,2,Estudios de Primaria/Secundaria
17,Hombre,24,Madrid,2,Estudios Superiores
18,Mujer,24,Madrid,2,Estudios Superiores
19,Hombre,24,Munich,1,Estudios Superiores
20,Hombre,24,Amsterdam,2,Estudios Superiores
21,Mujer,23,Madrid,4,A través de otra persona
22,Mujer,24,Pamplona,3,Estudios de Primaria/Secundaria
23,Hombre,24,Algeciras,2,Estudios de Primaria/Secundaria
24,Mujer,22,Madrid,4,A través de otra persona
25,Mujer,24,Siena,3,Estudios de Primaria/Secundaria
26,Mujer,24,Pamplona,2,Estudios de Primaria/Secundaria
27,Mujer,25,Madrid,3,A través de otra persona
28,Hombre,27,Algeciras,2,A través de otra persona
29,Mujer,56,Cádiz ,3,Familia
