,Gender,Age,Residency,EmotionalProximity,Context
0,Hombre,58.0,Madrid ,5.0,Otro
1,Mujer,23.0,Madrid ,5.0,Familia
2,Hombre,19.0,Madrid ,5.0,Familia
3,Mujer,44.0,Madrid ,5.0,Familia
4,Hombre,52.0,Madrid ,5.0,Familia
5,Mujer,52.0,Madrid ,4.0,Familia
6,Hombre,55.0,Madrid ,4.0,Familia
7,Mujer,53.0,Madrid ,4.0,Otro
8,Hombre,63.0,Madrid ,3.0,Vecino/a
9,Mujer,45.0,Madrid,2.0,Trabajo
10,Mujer,55.0,Madrid,2.0,Trabajo
11,Mujer,50.0,Madrid,2.0,Trabajo
12,Mujer,59.0,Madrid,5.0,Familia
13,Hombre,63.0,Madrid,4.0,Familia
14,Mujer,40.0,Madrid,4.0,Familia
15,Hombre,40.0,Madrid,3.0,Familia
16,Mujer,49.0,Madrid,3.0,Aficiones comunes
17,Mujer,53.0,Madrid,2.0,Otro
18,Mujer,59.0,Madrid,3.0,Aficiones comunes
19,Mujer,66.0,Madrid,2.0,Vecino/a
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
